Dialogue_ID,Usefulness_score
1863,3
1862,3
1861,5
1859,4
1858,4
1857,3
1853,3
1850,2
1846,4
1840,4
1839,5
1837,4
1833,5
1832,5
1830,4
1829,5
1826,4
1825,5
1824,4
1820,5
1818,4
1815,5
1494,3
1493,5
1491,5
1489,4
1488,4
1486,5
1485,5
1482,5
1476,5
1471,4
1470,4
1462,5
1457,5
1456,4
1450,4
1446,2
1445,4
1443,3
1442,3
1441,1
1439,3
1438,4
1436,4
1433,4
1432,4
1431,3
1426,3
1413,1
1407,4
1405,3
1399,4
1397,5
1388,4
1382,4
1381,5
1376,4
1375,5
1371,4
1361,3
1355,4
1354,4
1353,4
1352,4
1348,4
1345,5
1343,5
1340,5
1339,5
1335,5
1333,4
1317,3
1315,1
1313,5
1311,4
1310,5
1304,4
1303,3
1301,3
1300,5
1293,4
1291,5
1288,4
1279,4
1275,3
1270,3
1268,3
1267,4
1266,4
1264,1
1261,4
1258,4
1254,5
1249,5
1244,4
1240,5
1235,1
1233,3
1232,4
1231,3
1228,4
1227,3
1222,4
1221,4
1220,5
1218,4
1213,3
1210,1
1207,2
1205,4
1203,5
1200,4
1198,4
1196,5
1194,3
1191,2
1190,4
1187,5
1182,4
1181,4
1171,4
1164,4
1160,4
1156,4
1154,4
1150,2
1148,3
1139,5
1135,2
1133,4
1126,1
1123,5
1122,2
1120,3
1117,5
1113,1
1111,5
1109,2
